client_id,visit_id,process_step,date_time,variation,tenure_years,age
8331742,998001174_76255673712_304785,step_3,2017-04-13 06:42:57,Control,12.0,56.5
6997573,406990461_70382592695_852350,start,2017-04-26 16:05:20,Control,12.0,54.0
6997573,406990461_70382592695_852350,start,2017-04-26 16:05:20,Control,12.0,54.0
8448636,632037948_93079369150_269366,step_3,2017-03-30 13:26:51,Control,12.0,39.5
8448636,632037948_93079369150_269366,step_3,2017-03-30 13:26:51,Control,12.0,39.5
3965494,66367601_63468032677_787018,step_3,2017-04-27 22:35:21,Control,11.0,75.5
3965494,66367601_63468032677_787018,step_3,2017-04-27 22:35:21,Control,11.0,75.5
3965494,66367601_63468032677_787018,start,2017-04-27 22:27:07,Control,11.0,75.5
3965494,66367601_63468032677_787018,start,2017-04-27 22:27:07,Control,11.0,75.5
3965494,66367601_63468032677_787018,start,2017-04-27 22:20:26,Control,11.0,75.5
3965494,66367601_63468032677_787018,start,2017-04-27 22:20:26,Control,11.0,75.5
3965494,66367601_63468032677_787018,start,2017-04-27 22:19:57,Control,11.0,75.5
3965494,66367601_63468032677_787018,start,2017-04-27 22:19:57,Control,11.0,75.5
3965494,66367601_63468032677_787018,start,2017-04-27 22:13:13,Control,11.0,75.5
3965494,66367601_63468032677_787018,start,2017-04-27 22:13:13,Control,11.0,75.5
585528,942465740_605247910_845627,start,2017-04-05 11:53:19,Test,8.0,48.0
585528,942465740_605247910_845627,start,2017-04-05 11:53:19,Test,8.0,48.0
7294595,35484370_50978457447_625627,step_3,2017-04-28 08:27:18,Control,5.0,24.5
7294595,35484370_50978457447_625627,step_3,2017-04-28 08:27:18,Control,5.0,24.5
6298404,849470464_82773801644_750127,step_3,2017-04-09 15:16:41,Control,8.0,45.5
6298404,849470464_82773801644_750127,step_3,2017-04-09 15:16:41,Control,8.0,45.5
8095818,258127517_54258812839_309503,step_3,2017-04-09 15:31:40,Control,23.0,62.5
8095818,258127517_54258812839_309503,step_3,2017-04-09 15:31:40,Control,23.0,62.5
6725918,414663149_58207189908_324343,start,2017-04-28 10:22:20,Control,15.0,35.5
6725918,414663149_58207189908_324343,start,2017-04-28 10:22:20,Control,15.0,35.5
7211752,858485792_37327649980_896949,start,2017-04-27 09:02:10,Control,6.0,63.5
7211752,858485792_37327649980_896949,start,2017-04-27 09:02:10,Control,6.0,63.5
2996254,593837679_16846126654_246948,start,2017-04-28 10:01:35,Test,14.0,30.5
2996254,593837679_16846126654_246948,start,2017-04-28 10:01:35,Test,14.0,30.5
8273085,265575556_62289664199_470370,start,2017-04-28 14:17:07,Control,5.0,59.0
8273085,265575556_62289664199_470370,start,2017-04-28 14:17:07,Control,5.0,59.0
8273085,265575556_62289664199_470370,start,2017-04-28 14:16:27,Control,5.0,59.0
8273085,265575556_62289664199_470370,start,2017-04-28 14:16:27,Control,5.0,59.0
7728720,204218352_90800170271_880708,step_3,2017-04-20 02:41:58,Control,10.0,57.5
7728720,204218352_90800170271_880708,step_3,2017-04-20 02:41:58,Control,10.0,57.5
4449433,406716299_44581100399_277577,start,2017-04-27 12:53:23,Control,14.0,63.5
4449433,406716299_44581100399_277577,start,2017-04-27 12:53:23,Control,14.0,63.5
976546,322427080_76153984848_501928,start,2017-04-26 15:01:12,Control,19.0,38.5
976546,322427080_76153984848_501928,start,2017-04-26 15:01:12,Control,19.0,38.5
3902353,671620293_20515496490_610343,start,2017-04-28 07:31:11,Control,25.0,60.0
3902353,671620293_20515496490_610343,start,2017-04-28 07:31:11,Control,25.0,60.0
3909705,923844408_83587257453_421102,start,2017-04-27 20:59:45,Control,7.0,48.0
3909705,923844408_83587257453_421102,start,2017-04-27 20:59:45,Control,7.0,48.0
9068673,501912308_91572895056_521386,step_3,2017-04-09 17:26:08,Test,11.0,75.5
9068673,501912308_91572895056_521386,step_3,2017-04-09 17:26:08,Test,11.0,75.5
9165808,119635871_3439058809_598164,start,2017-04-28 11:44:59,Control,22.0,58.5
9165808,119635871_3439058809_598164,start,2017-04-28 11:44:59,Control,22.0,58.5
9247136,825903050_49811968972_677663,start,2017-04-27 12:01:26,Control,17.0,58.5
9247136,825903050_49811968972_677663,start,2017-04-27 12:01:26,Control,17.0,58.5
7257640,324113872_43960583452_606585,step_3,2017-04-05 21:03:06,Test,5.0,57.5
7257640,324113872_43960583452_606585,step_3,2017-04-05 21:03:06,Test,5.0,57.5
6630645,686296616_17707679453_598221,step_3,2017-04-19 14:14:57,Control,14.0,73.5
6630645,686296616_17707679453_598221,step_3,2017-04-19 14:14:57,Control,14.0,73.5
9341024,441845718_29447298067_586208,step_2,2017-04-04 20:22:14,Test,6.0,67.5
9341024,441845718_29447298067_586208,step_2,2017-04-04 20:22:14,Test,6.0,67.5
9341024,441845718_29447298067_586208,step_3,2017-04-04 20:21:15,Test,6.0,67.5
9341024,441845718_29447298067_586208,step_2,2017-04-04 20:21:15,Test,6.0,67.5
9341024,441845718_29447298067_586208,step_3,2017-04-04 20:21:15,Test,6.0,67.5
9341024,441845718_29447298067_586208,step_2,2017-04-04 20:21:15,Test,6.0,67.5
9341024,441845718_29447298067_586208,step_2,2017-04-04 20:19:16,Test,6.0,67.5
9341024,441845718_29447298067_586208,step_1,2017-04-04 20:19:16,Test,6.0,67.5
9341024,441845718_29447298067_586208,step_1,2017-04-04 20:19:16,Test,6.0,67.5
9341024,441845718_29447298067_586208,step_2,2017-04-04 20:19:16,Test,6.0,67.5
540970,381115360_35896330388_704645,start,2017-04-27 07:15:33,Control,5.0,33.0
540970,381115360_35896330388_704645,start,2017-04-27 07:15:33,Control,5.0,33.0
6279810,86669894_50714960735_29197,start,2017-04-26 13:38:31,Control,7.0,71.5
6279810,86669894_50714960735_29197,start,2017-04-26 13:38:31,Control,7.0,71.5
